id,query,sql,query_type,expectation,dataset,attribute,notes
36,Show me all the houses that are within a 20 minute walk of a hospital in {input_location}.,"WITH residential_buildings AS (  SELECT    osid,    description,    geometry,    geometry_wgs84  FROM    product_data_store.buildings.ngd_building  WHERE    buildinguse_addresscount_residential > 0),buffered_hospitals AS (  SELECT    st_union_agg(st_buffer(geometry, 1600)) AS geometry  FROM    product_data_store.sites.ngd_sites  WHERE    description = 'Hospital' AND {input_location})SELECT  rb.osid,  rb.description,  rb.geometry_wgs84FROM  residential_buildings rb    JOIN buffered_hospitals h      ON st_intersects(h.geometry, rb.geometry)",proximity,expect_sql,"building,site","description,buildinguse_addresscount_residential ","Note the position of ""location"""
37,Show me all the houses in {input_location} that are within a 20 minute walk of a hospital in {input_location}.,"WITH residential_buildings AS (  SELECT    osid,    description,    geometry,    geometry_wgs84  FROM    product_data_store.buildings.ngd_building  WHERE    buildinguse_addresscount_residential > 0 AND {input_location}),buffered_hospitals AS (  SELECT    st_union_agg(st_buffer(geometry, 1600)) AS geometry  FROM    product_data_store.sites.ngd_sites  WHERE    description = 'Hospital' AND {input_location})SELECT  rb.osid,  rb.description,  rb.geometry_wgs84FROM  residential_buildings rb    JOIN buffered_hospitals h      ON st_intersects(h.geometry, rb.geometry)",proximity,expect_sql,"building,site","description,buildinguse_addresscount_residential ",Could this accept two different locations?
38,Show me all houses in {input_location} that are not within 2km of a library.,"WITH residential_buildings AS (SELECT osid, description, st_buffer(geometry, 2000) AS search_geometry, geometry_wgs84 FROM product_data_store.buildings.ngd_building WHERE  buildinguse_addresscount_residential > 0 AND {input_location}), libraries AS (SELECT osid, description, geometry FROM product_data_store.buildings.ngd_building WHERE description IN ('Library', 'Library And Museum')) SELECT rb.osid, rb.description, rb.geometry_wgs84 FROM residential_buildings rb LEFT ANTI JOIN libraries l ON st_intersects(rb.search_geometry, l.geometry)",proximity,expect_sql,building,,
39,What is the distance between each house and its closest GP surgery in {input_location}?,"WITH houses AS (  SELECT    osid,    buildinguse_oslandusetiera,    geometry,    st_buffer(geometry, 5000) AS search_geometry,    geometry_wgs84  FROM    product_data_store.buildings.ngd_building  WHERE    buildinguse_addresscount_residential > 0    AND {input_location}),gp_sites AS (  SELECT    osid,    description,    geometry  FROM    product_data_store.sites.ngd_sites  WHERE    description = 'Health Centre'    AND {input_location}),candidates AS (  SELECT    h.osid,    h.geometry AS h_geometry,    gp.geometry AS gp_geometry,    gp.description as gp_description,    h.geometry_wgs84  FROM    houses h      JOIN gp_sites gp        ON st_intersects(h.search_geometry, gp.geometry)),ranked AS (  SELECT    osid,    h_geometry,    gp_geometry,    geometry_wgs84,    st_distance(st_setsrid(h_geometry, 27700), st_setsrid(gp_geometry, 27700)) AS distance_m,    row_number() OVER (PARTITION BY osid ORDER BY st_distance(h_geometry, gp_geometry)) AS rn  FROM    candidates)SELECT  osid,  distance_m,  geometry_wgs84FROM  ranked WHERE  rn = 1",proximity,expect_sql,"building,site",,Assumes a 5km search window.
40,Where are the car parks in {input_location}?,"SELECT osid, description, geometry_wgs84 FROM product_data_store.sites.ngd_sites WHERE {input_location} AND description IN ('Public Car Park', 'Public Car And Coach Park', 'Public Car And Commercial Vehicle Park', 'Park And Ride Car Park')",attribute_filter,expect_sql,site,description,"Limitation in the data not all car parks (or places where cars are parked) are identified, only the large public car parking areas."
41,Can you show me natural areas in {input_location}?,"SELECT osid, oslandcovertiera, geometry_wgs84 FROM product_data_store.land.ngd_land WHERE {input_location} AND oslandcovertiera IN ('Open Vegetation','Open Vegetation And Mineral','Trees')",attribute_filter,expect_sql,land,oslandcovertiera,"Should ""natural area"" include water? Perhaps, but would reservoirs be considered natural?"
42,Show me all the bungalows in {input_location}.,"SELECT osid, description, buildinguse_oslandusetiera, connectivity, roofshapeaspect_shape, numberoffloors, geometry_wgs84 FROM product_data_store.buildings.ngd_building WHERE buildinguse_oslandusetiera = 'Residential Accommodation' AND description IN ('Detached House', 'Residential Building', 'Temporary Or Holiday Accommodation Building') AND connectivity = 'Standalone' AND roofshapeaspect_shape = 'Pitched' AND numberoffloors = 1 AND {input_location};",attribute_filter,expect_sql,building,"description,buildinguse_oslandusetiera,connectivity,roofshapeaspect_shape,numberoffloors",No specific definition and potentially ambiguous.
43,Where are the thatched roof houses in {input_location}?,"SELECT osid, buildinguse_oslandusetiera, roofmaterial_primarymaterial, geometry_wgs84 FROM product_data_store.buildings.ngd_building WHERE  buildinguse_addresscount_residential > 0 AND buildinguse_addresscount_total = 1  AND roofmaterial_primarymaterial = 'Thatch' AND {input_location}",attribute_filter,expect_sql,building,"buildinguse_addresscount_residential,buildinguse_addresscount_total,roofmaterial_primarymaterial",
44,Show me all the areas of water in {input_location}.,"SELECT osid, description, geometry_wgs84 FROM product_data_store.water.ngd_water_features_water WHERE {input_location}",spatial_filter,expect_sql,water,,
45,Where is tidal water near {input_location}?,"SELECT osid, theme, description, watertype, geometry_wgs84 FROM product_data_store.water.ngd_water_features_water WHERE watertype = 'Tidal' AND {input_location}",attribute_filter,expect_sql,water,watertype,
46,Show me all the tidal areas in {input_location}.,"SELECT osid, theme, description, NULL AS watertype, istidal, geometry_wgs84 FROM product_data_store.land.ngd_land WHERE istidal = True AND {input_location} UNION ALL (SELECT osid, theme, description, watertype, NULL AS istidal, geometry_wgs84 FROM product_data_store.water.ngd_water_features_water WHERE watertype = 'Tidal' AND {input_location})",attribute_filter,expect_sql,"water,land","watertype,istidal",Requires union of mismatched schemas
47,What is the nearest school to each residence in {input_location}?,"WITH houses AS (  SELECT    osid,    buildinguse_oslandusetiera,    geometry,    st_buffer(geometry, 5000) AS search_geometry,    geometry_wgs84  FROM    product_data_store.buildings.ngd_building  WHERE   buildinguse_addresscount_residential > 0    AND {input_location}),sch_sites AS (  SELECT    osid,    description,    geometry  FROM    product_data_store.sites.ngd_sites  WHERE    description = 'School'    AND {input_location}),candidates AS (  SELECT    h.osid,    sch.osid AS near_osid,    h.geometry AS h_geometry,    sch.geometry AS sch_geometry,    h.geometry_wgs84  FROM    houses h      JOIN sch_sites sch        ON st_intersects(h.search_geometry, sch.geometry)),ranked AS (  SELECT    osid,    near_osid,    h_geometry,    sch_geometry,    geometry_wgs84,    st_distance(st_setsrid(h_geometry, 27700), st_setsrid(sch_geometry,27700)) AS distance_m,    row_number() OVER (PARTITION BY osid ORDER BY st_distance(h_geometry, sch_geometry)) AS row_number  FROM    candidates)SELECT  osid,  near_osid,  geometry_wgs84FROM  rankedWHERE  row_number = 1","proximity,attribute_filter",expect_sql,"building,site",,Assumes a 5km search window.
48,Show me the pavements in {input_location}.,"SELECT osid, description, geometry_wgs84 FROM product_data_store.transport_features.ngd_road_track_path WHERE {input_location} AND description IN ('Path', 'Path and Steps', 'Pavement', 'Pavement and Steps')",attribute_filter,expect_sql,road_track_path,description,https://github.com/OrdnanceSurvey/Pavement-Widths
49,Show me natural lands in the coastal zone near {input_location}.,"SELECT osid, description, oslandcovertiera, istidal, geometry_wgs84 FROM product_data_store.land.ngd_land WHERE oslandcovertiera IN ('Open Vegetation','Open Vegetation And Mineral','Trees') AND istidal = 'true' AND {input_location}",attribute_filter,expect_sql,land,"oslandcovertiera,istidal",https://storymaps.arcgis.com/stories/4353cc74323b4d1c83f5ddfc7fd493b1
50,Show me all the bridges in {input_location}.,"SELECT osid, description, geometry_wgs84 FROM product_data_store.structure.ngd_compound_structure WHERE {input_location} AND description IN ('Aqueduct','Bridge','Clapper Bridge','Footbridge','Lift Bridge','Swing Bridge','Transporter Bridge','Viaduct')",attribute_filter,expect_sql,compound_structure,description,
51,Show me all the tunnels in {input_location}.,"SELECT osid, description, geometry_wgs84 FROM product_data_store.structure.ngd_compound_structure WHERE {input_location} AND description IN ('Canal Tunnel','Pedestrian Tunnel Or Subway','Rail Tunnel','Road Tunnel','Tube Or Metro Tunnel','Underpass','Watercourse Tunnel')",attribute_filter,expect_sql,compound_structure,description,Assumes non-transport tunnels are included.
52,Which buildings in {input_location} are within 250m of an electricity pylon?,"WITH buildings AS (SELECT osid, description, geometry, geometry_wgs84 FROM product_data_store.buildings.ngd_building WHERE {input_location}), pylons AS (SELECT st_union_agg(st_buffer(p.geometry, 150)) AS geometry FROM product_data_store.structure.ngd_structure p, buildings b WHERE p.description IN ('Electricity Pylon') AND st_intersects(p.geometry, st_buffer(st_envelope(b.geometry), 150))) SELECT b.osid, b.description, b.geometry_wgs84 FROM buildings b, pylons p WHERE st_intersects(b.geometry, p.geometry)",proximity,expect_sql,structure,description,
53,Where are wood houses in {input_location}?,"SELECT osid, description, buildinguse_oslandusetiera, constructionmaterial, geometry_wgs84 FROM product_data_store_poc.buildings.ngd_building WHERE buildinguse_oslandusetiera = 'Residential Accommodation' AND constructionmaterial IN ('Mixed (Masonry And Timber)','Mixed (Plaster And Timber)', 'Timber Or Wood') AND {input_location}",attribute_filter,expect_sql,building,"buildinguse_oslandusetiera,constructionmaterial",
54,Show me all the mobile homes or caravans in {input_location}.,"SELECT osid, description, constructionmaterial, geometry_wgs84 FROM product_data_store_poc.buildings.ngd_building WHERE constructionmaterial IN ('Static Caravan Or Mobile Home') AND {input_location}",attribute_filter,expect_sql,building,constructionmaterial,
55,Can you show me greenspace in {input_location}?,,attribute_filter,out_of_scope,,,
56,Show me all the construction sites in {input_location}.,"SELECT osid, description, oslandusetiera, geometry_wgs84 FROM product_data_store_poc.sites.ngd_sites WHERE oslandusetiera = 'Construction' AND {input_location}",attribute_filter,expect_sql,sites,oslandusetiera,
57,Show me homes in {input_location} that are more than 0.5 miles from a train station.,,"proximity,attribute_filter",out_of_scope,"building,site",description,Convert between miles and meters
58,Return all the residential gardens in {input_location} that are bigger than X m^2.,,attribute_filter,out_of_scope,land,,
59,Which buildings in {input_location} are under construction?,,attribute_filter,out_of_scope,,,
60,Where are derelict buildings in {input_location}?,,attribute_filter,out_of_scope,,,
61,Which areas in {input_location} might be suitable for redevelopment?,,attribute_filter,out_of_scope,"site,land",,
62,Which houses in {input_location} have detached garages?,,attribute_filter,out_of_scope,,,
63,Which houses in {input_location} are within a 15 minute walk of the beach?,,proximity,out_of_scope,"building,site",,Assumes X m buffer for a 15 minute straight line walk
64,Show me all the canals in {input_location}.,"SELECT osid, description, geometry_wgs84 FROM product_data_store_poc.water.ngd_water_features_water WHERE {input_location} AND description IN ('Canal','Canal And Reeds','Canal Feeder','Loch')",attribute_filter,expect_sql,water,description,
65,Show me reservoirs in {input_location}.,"SELECT osid, description, geometry_wgs84 FROM product_data_store_poc.water.ngd_water_features_water {input_location} AND WHERE description IN ('Buried Open Reservoir','Buried Open Reservoir With Solar Panels','Buried Open Water Tank','Open Reservoir','Open Reservoir With Solar Panels','Open Tank Reservoir','Open Tank Reservoir With Solar Panels','Open Water Tank')",attribute_filter,expect_sql,water,description,
66,Map all the lakes or ponds in {input_location}.,"SELECT osid, description, geometry_wgs84 FROM product_data_store_poc.water.ngd_water_features_water WHERE {input_location} AND description IN ('Still Water','Still Water With Solar Panels','Static Water As Source Of Watercourse')",attribute_filter,expect_sql,water,description,Doesn't include things like reservoirs or cooling ponds.
67,What is the largest lake in {input_location}?,"SELECT osid, description, geometry_area_m2, geometry_wgs84 FROM product_data_store_poc.water.ngd_water_features_water WHERE {input_location} AND description IN ('Still Water','Still Water With Solar Panels','Static Water As Source Of Watercourse') ORDER BY geometry_area_m2 DESC LIMIT 1",attribute_filter,expect_sql,water,description,
68,Which houses in {input_location} are within 200 m of a body of water?,,attribute_filter,expect_sql,"building,water",,
69,Where are underpasses in {input_location}?,,proximity,out_of_scope,,,
70,Where are pedestrian underpasses in {input_location}?,,attribute_filter,out_of_scope,,,
71,Where are foot bridges in {input_location}?,,attribute_filter,out_of_scope,,,
72,Show all the dirt or gravel roads in {input_location}.,,attribute_filter,out_of_scope,road_track_path,,
73,Where are the level crossings in {input_location}?,,attribute_filter,out_of_scope,road_track_path,,
74,Show me all the rail bridges in {input_location}.,,attribute_filter,out_of_scope,,,
75,Which roads in {input_location} are within 500m of the coast?,,"proximity,attribute_filter",out_of_scope,,,
